Bot	Level	Action Plan #	Action #	Estimated Start Time	Estimated End Time	Estimated Duration (milliseconds)	Action Type	Marker	Start Marker of Move/Rotation	End Marker of Move/Rotation	Component	Start Component of Rotation	End Component of Rotation	Orientation	Start Orientation of Rotation	End Orientation of Rotation	Speed (mm/second)	Drive	Angle	Turn Direction	MVC #	MVC Side #	MVC Platform #	Case # in Pallet Sequence	Aisle #	Bay #	Offset (mm)	SKU #	# Cases	Replenishment #	Replenishment Pallet #	Store Order #	Pallet Order #
1	4	0	0	11.7500	12.4999	750	MOVE	0	2	5	1	0	0	EAST			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
2	4	4	0	11.7500	14.7500	3000	MOVE	0	47	49	5	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
3	4	6	0	11.7500	17.7500	6000	MOVE	0	41	49	7	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
4	4	7	0	11.7500	15.2499	3500	REST	49	0	0	9	0	0	NORTH			0		0		0	0	0	0	0	0	0		0	0	0	0	0
1	3	1	0	9.7500	13.5000	3750	MOVE	0	2	17	1	0	0	EAST			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
2	3	5	0	9.7500	10.0000	250	REST	47	0	0	5	0	0	NORTH			0		0		0	0	0	0	0	0	0		0	0	0	0	0
3	3	9	0	9.7500	15.7500	6000	MOVE	0	41	49	7	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
4	3	10	0	9.7500	12.0000	2250	MOVE	0	49	50	9	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
1	2	2	0	8.0000	8.7500	750	MOVE	0	2	5	1	0	0	EAST			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
2	2	3	0	8.0000	11.0000	3000	MOVE	0	47	49	5	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
3	2	8	0	8.0000	14.0000	6000	MOVE	0	41	49	7	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
4	2	11	0	8.0000	8.7500	750	REST	49	0	0	9	0	0	NORTH			0		0		0	0	0	0	0	0	0		0	0	0	0	0
4	4	7	1	15.2499	17.5000	2250	MOVE	0	49	50	9	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
2	3	5	1	10.0000	10.4999	500	MOVE	0	47	46	5	0	0	NORTH			5000	REVERSE	0		0	0	0	0	0	0	0		0	0	0	0	0
4	2	11	1	8.7500	11.0000	2250	MOVE	0	49	50	9	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
1	6	12	0	18.0000	22.2499	4250	MOVE	0	2	19	1	0	0	EAST			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
2	6	13	0	18.0000	21.0000	3000	MOVE	0	47	49	5	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
3	6	14	0	18.0000	24.0000	6000	MOVE	0	41	49	7	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
4	6	15	0	18.0000	20.2499	2250	MOVE	0	49	50	9	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
1	7	20	0	18.0000	20.0000	2000	MOVE	0	2	10	1	0	0	EAST			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
2	7	21	0	18.0000	21.0000	3000	MOVE	0	47	49	5	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
3	7	22	0	18.0000	24.0000	6000	MOVE	0	41	49	7	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
4	7	23	0	18.0000	20.2499	2250	MOVE	0	49	50	9	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
1	5	16	0	18.0000	21.7500	3750	MOVE	0	2	17	1	0	0	EAST			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
2	5	17	0	18.0000	21.0000	3000	MOVE	0	47	49	5	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
3	5	18	0	18.0000	24.0000	6000	MOVE	0	41	49	7	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
4	5	19	0	18.0000	20.2499	2250	MOVE	0	49	50	9	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
1	10	28	0	18.4999	21.2499	2750	MOVE	0	2	13	1	0	0	EAST			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
2	10	29	0	18.4999	40.4999	22000	MOVE	0	47	3	5	0	0	NORTH			5000	REVERSE	0		0	0	0	0	0	0	0		0	0	0	0	0
3	10	30	0	18.4999	24.4999	6000	MOVE	0	41	49	7	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
4	10	31	0	18.4999	20.7500	2250	MOVE	0	49	50	9	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
1	9	24	0	18.4999	19.2499	750	MOVE	0	2	5	1	0	0	EAST			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
2	9	25	0	18.4999	18.7500	250	REST	47	0	0	5	0	0	NORTH			0		0		0	0	0	0	0	0	0		0	0	0	0	0
3	9	26	0	18.4999	18.7500	250	REST	41	0	0	7	0	0	NORTH			0		0		0	0	0	0	0	0	0		0	0	0	0	0
4	9	27	0	18.4999	20.7500	2250	MOVE	0	49	50	9	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
1	8	32	0	18.4999	19.0000	500	MOVE	0	2	4	1	0	0	EAST			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
2	8	33	0	18.4999	21.5000	3000	MOVE	0	47	49	5	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
3	8	34	0	18.4999	22.0000	3500	MOVE	0	41	48	7	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
4	8	35	0	18.4999	20.4999	2000	REST	49	0	0	9	0	0	NORTH			0		0		0	0	0	0	0	0	0		0	0	0	0	0
1	11	36	0	18.7500	22.4999	3750	MOVE	0	2	17	1	0	0	EAST			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
2	11	37	0	18.7500	21.7500	3000	MOVE	0	47	49	5	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
3	11	38	0	18.7500	24.7500	6000	MOVE	0	41	49	7	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
4	11	39	0	18.7500	21.0000	2250	MOVE	0	49	50	9	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
1	13	40	0	18.7500	22.4999	3750	MOVE	0	2	17	1	0	0	EAST			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
2	13	41	0	18.7500	21.7500	3000	MOVE	0	47	49	5	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
3	13	42	0	18.7500	24.7500	6000	MOVE	0	41	49	7	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
4	13	43	0	18.7500	21.0000	2250	MOVE	0	49	50	9	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
1	12	44	0	18.7500	19.5000	750	MOVE	0	2	5	1	0	0	EAST			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
2	12	45	0	18.7500	21.7500	3000	MOVE	0	47	49	5	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
3	12	46	0	18.7500	24.7500	6000	MOVE	0	41	49	7	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
4	12	47	0	18.7500	19.5000	750	REST	49	0	0	9	0	0	NORTH			0		0		0	0	0	0	0	0	0		0	0	0	0	0
1	15	52	0	19.2499	23.7500	4500	MOVE	0	2	20	1	0	0	EAST			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
2	15	53	0	19.2499	22.2499	3000	MOVE	0	47	49	5	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
3	15	54	0	19.2499	25.2499	6000	MOVE	0	41	49	7	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
4	15	55	0	19.2499	21.5000	2250	MOVE	0	49	50	9	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
1	14	48	0	19.2499	20.0000	750	MOVE	0	2	5	1	0	0	EAST			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
2	14	49	0	19.2499	19.5000	250	REST	47	0	0	5	0	0	NORTH			0		0		0	0	0	0	0	0	0		0	0	0	0	0
3	14	50	0	19.2499	19.5000	250	REST	41	0	0	7	0	0	NORTH			0		0		0	0	0	0	0	0	0		0	0	0	0	0
4	14	51	0	19.2499	21.5000	2250	MOVE	0	49	50	9	0	0	NORTH			5000	FORWARD	0		0	0	0	0	0	0	0		0	0	0	0	0
