task;level;bot;taskType;routeType;isTrimmed;startTime;endTime;time;stayAtFinal;mvc;slotTime;slotNr;platformArrival
11;0;7;OUTPUT;ROUTE_1;false;194821.0;225500.0;30679.0;18481.0;72;NA;NA;NA
11;0;7;OUTPUT;ROUTE_2;false;225500.0;258000.0;32500.0;13000.0;72;255000;51;255000
13;0;3;OUTPUT;ROUTE_1;false;209857.0;230862.0;21005.0;11555.0;8;NA;NA;NA
13;0;3;OUTPUT;ROUTE_2;false;230862.0;263000.0;32138.0;13000.0;8;260000;52;260000
20;0;4;OUTPUT;ROUTE_1;false;216306.0;236704.0;20398.0;11623.0;36;NA;NA;NA
20;0;4;OUTPUT;ROUTE_2;false;236704.0;268000.0;31296.0;13000.0;36;265000;53;265000
41;0;2;OUTPUT;ROUTE_1;false;228351.0;242066.0;13715.0;12365.0;72;NA;NA;NA
41;0;2;OUTPUT;ROUTE_2;false;242066.0;283000.0;40934.0;13000.0;72;280000;56;280000
43;0;6;OUTPUT;ROUTE_1;false;217954.0;238959.0;21005.0;11555.0;8;NA;NA;NA
43;0;6;OUTPUT;ROUTE_2;false;238959.0;288000.0;49041.0;13000.0;8;285000;57;285000
65;0;5;OUTPUT;ROUTE_1;false;225535.0;266695.0;41160.0;17316.0;72;NA;NA;NA
65;0;5;OUTPUT;ROUTE_2;false;266695.0;303000.0;36305.0;16194.0;72;300000;60;300000
73;0;8;OUTPUT;ROUTE_1;false;260223.0;280013.0;19790.0;11690.0;8;NA;NA;NA
73;0;8;OUTPUT;ROUTE_2;false;280013.0;313000.0;32987.0;13000.0;8;310000;62;310000
73;0;6;OUTPUT;BLOCKER;false;292405.0;305077.0;12672.0;4000.0;8;NA;NA;NA
92;0;1;OUTPUT;ROUTE_1;false;266487.0;283240.0;16753.0;12028.0;36;NA;NA;NA
92;0;1;OUTPUT;ROUTE_2;false;283240.0;328000.0;44760.0;13000.0;36;325000;65;325000
92;0;4;OUTPUT;BLOCKER;false;289910.0;313497.0;23587.0;4000.0;36;NA;NA;NA
