"Bot";"StartTime";"EndTime";"RouteType";"TaskType"
78;18.8999999985;44.9309141114;"ROUTE_1";"OUTPUT"
78;44.9309141114;87.2208393812;"ROUTE_2";"OUTPUT"
50;17.1999999993;36.6011686884;"ROUTE_1";"OUTPUT"
50;36.6011686884;97.5514888465;"ROUTE_2";"OUTPUT"
80;18.8999999985;54.9453698844;"ROUTE_1";"OUTPUT"
80;54.9453698844;103.3956145085;"ROUTE_2";"OUTPUT"
7;17.6999999993;42.5043027587;"ROUTE_1";"OUTPUT"
7;42.5043027587;105.2034843974;"ROUTE_2";"OUTPUT"
85;18.6000000015;50.5034175515;"ROUTE_1";"OUTPUT"
85;50.5034175515;106.4473438077;"ROUTE_2";"OUTPUT"
83;18.8999999985;57.3364001028;"ROUTE_1";"OUTPUT"
83;57.3364001028;112.3110643849;"ROUTE_2";"OUTPUT"
46;17.5;50.8382855132;"ROUTE_1";"OUTPUT"
46;50.8382855132;116.8182247952;"ROUTE_2";"OUTPUT"
101;18.5;51.3472808637;"ROUTE_1";"OUTPUT"
101;51.3472808637;117.2297369801;"ROUTE_2";"OUTPUT"
61;17.1999999993;49.7330591306;"ROUTE_1";"OUTPUT"
61;49.7330591306;117.2820754349;"ROUTE_2";"OUTPUT"
77;18.8999999985;47.6460943446;"ROUTE_1";"OUTPUT"
77;47.6460943446;117.9571668245;"ROUTE_2";"OUTPUT"
23;18;56.1545155086;"ROUTE_1";"OUTPUT"
23;56.1545155086;118.1455735341;"ROUTE_2";"OUTPUT"
39;17.5;61.0490558632;"ROUTE_1";"OUTPUT"
39;61.0490558632;118.1654338613;"ROUTE_2";"OUTPUT"
104;18.1000000015;60.7326992303;"ROUTE_1";"OUTPUT"
104;60.7326992303;120.3811315931;"ROUTE_2";"OUTPUT"
24;18;65.1294610463;"ROUTE_1";"OUTPUT"
24;65.1294610463;122.5697434358;"ROUTE_2";"OUTPUT"
12;17.6999999993;57.985673774;"ROUTE_1";"OUTPUT"
12;57.985673774;127.267358724;"ROUTE_2";"OUTPUT"
96;18.5;73.0720944889;"ROUTE_1";"OUTPUT"
96;73.0720944889;131.5447503291;"ROUTE_2";"OUTPUT"
92;18.5;71.5804565959;"ROUTE_1";"OUTPUT"
92;71.5804565959;131.5639610551;"ROUTE_2";"OUTPUT"
47;17.5;70.3362209424;"ROUTE_1";"OUTPUT"
47;70.3362209424;134.3253623433;"ROUTE_2";"OUTPUT"
102;18.5;68.4202354439;"ROUTE_1";"OUTPUT"
102;68.4202354439;134.8095627055;"ROUTE_2";"OUTPUT"
53;17.1999999993;110.9663000032;"ROUTE_1";"INPUT"
53;110.9663000032;135.3384437524;"ROUTE_2";"INPUT"
57;17;74.2016725317;"ROUTE_1";"OUTPUT"
57;74.2016725317;136.110963624;"ROUTE_2";"OUTPUT"
52;17.1999999993;41.8964156732;"ROUTE_1";"OUTPUT"
52;41.8964156732;137.30965323;"ROUTE_2";"OUTPUT"
18;17.5;70.6038462669;"ROUTE_1";"OUTPUT"
18;70.6038462669;138.1655077897;"ROUTE_2";"OUTPUT"
65;17.1999999993;65.0935770646;"ROUTE_1";"OUTPUT"
65;65.0935770646;139.2593392618;"ROUTE_2";"OUTPUT"
13;17.5;101.4297999963;"ROUTE_1";"INPUT"
13;101.4297999963;143.4062630273;"ROUTE_2";"INPUT"
100;18.5;52.9241934791;"ROUTE_1";"OUTPUT"
100;52.9241934791;143.5135546997;"ROUTE_2";"OUTPUT"
26;17.6999999993;78.3131425306;"ROUTE_1";"OUTPUT"
26;78.3131425306;146.2455480285;"ROUTE_2";"OUTPUT"
95;18.5;69.8084589206;"ROUTE_1";"OUTPUT"
95;69.8084589206;149.2434591241;"ROUTE_2";"OUTPUT"
55;17;103.4166000001;"ROUTE_1";"INPUT"
55;103.4166000001;150.6794143394;"ROUTE_2";"INPUT"
103;18.1000000015;69.1594896354;"ROUTE_1";"OUTPUT"
103;69.1594896354;151.0950840451;"ROUTE_2";"OUTPUT"
40;17.5;84.7528095804;"ROUTE_1";"OUTPUT"
40;84.7528095804;153.5449307598;"ROUTE_2";"OUTPUT"
60;17.1000000015;75.7142333761;"ROUTE_1";"OUTPUT"
60;75.7142333761;153.84683441;"ROUTE_2";"OUTPUT"
71;18.8999999985;114.7963000014;"ROUTE_1";"INPUT"
71;114.7963000014;154.3435527682;"ROUTE_2";"INPUT"
69;18.8999999985;92.6619152576;"ROUTE_1";"OUTPUT"
69;92.6619152576;155.556092605;"ROUTE_2";"OUTPUT"
29;17.6999999993;88.8286000006;"ROUTE_1";"INPUT"
29;88.8286000006;155.8190406263;"ROUTE_2";"INPUT"
43;17.3000000007;58.192102056;"ROUTE_1";"OUTPUT"
43;58.192102056;156.322039891;"ROUTE_2";"OUTPUT"
4;18.1999999993;81.7566620931;"ROUTE_1";"OUTPUT"
4;81.7566620931;156.506182272;"ROUTE_2";"OUTPUT"
35;17.8000000007;72.1114091463;"ROUTE_1";"OUTPUT"
35;72.1114091463;156.9147162475;"ROUTE_2";"OUTPUT"
37;17.5;90.4166000001;"ROUTE_1";"INPUT"
37;90.4166000001;157.0355309099;"ROUTE_2";"INPUT"
2;18.1999999993;113.817300003;"ROUTE_1";"INPUT"
2;113.817300003;157.9761051908;"ROUTE_2";"INPUT"
5;18.1999999993;118.3051000014;"ROUTE_1";"INPUT"
5;118.3051000014;158.9331759736;"ROUTE_2";"INPUT"
11;17.6999999993;112.121199999;"ROUTE_1";"INPUT"
11;112.121199999;160.9390167706;"ROUTE_2";"INPUT"
62;17.1999999993;83.2046052516;"ROUTE_1";"OUTPUT"
62;83.2046052516;161.3131484315;"ROUTE_2";"OUTPUT"
107;18.1000000015;114.7659000009;"ROUTE_1";"INPUT"
107;114.7659000009;161.7284530364;"ROUTE_2";"INPUT"
97;18.5;118.0064000003;"ROUTE_1";"INPUT"
97;118.0064000003;165.2721930221;"ROUTE_2";"INPUT"
81;18.8999999985;80.3908670992;"ROUTE_1";"OUTPUT"
81;80.3908670992;165.3677493669;"ROUTE_2";"OUTPUT"
63;17.1999999993;58.9115924276;"ROUTE_1";"OUTPUT"
63;58.9115924276;165.5887714662;"ROUTE_2";"OUTPUT"
31;17.8000000007;108.9765000008;"ROUTE_1";"INPUT"
31;108.9765000008;167.850730788;"ROUTE_2";"INPUT"
90;18.6000000015;91.1554826312;"ROUTE_1";"OUTPUT"
90;91.1554826312;168.1165131107;"ROUTE_2";"OUTPUT"
16;17.5;41.5164557882;"ROUTE_1";"OUTPUT"
16;41.5164557882;168.9759934023;"ROUTE_2";"OUTPUT"
89;18.6000000015;124.2099000029;"ROUTE_1";"INPUT"
89;124.2099000029;169.8305337727;"ROUTE_2";"INPUT"
22;18;71.8577073887;"ROUTE_1";"OUTPUT"
22;71.8577073887;171.0481835194;"ROUTE_2";"OUTPUT"
30;17.6999999993;124.1345999986;"ROUTE_1";"INPUT"
30;124.1345999986;172.4880714491;"ROUTE_2";"INPUT"
41;17.5;125.7204999998;"ROUTE_1";"INPUT"
41;125.7204999998;172.7872007117;"ROUTE_2";"INPUT"
36;17.8000000007;96.5196772106;"ROUTE_1";"OUTPUT"
36;96.5196772106;174.6444538012;"ROUTE_2";"OUTPUT"
42;17.5;82.8373017982;"ROUTE_1";"OUTPUT"
42;82.8373017982;175.5087694265;"ROUTE_2";"OUTPUT"
94;18.5;96.091230303;"ROUTE_1";"OUTPUT"
94;96.091230303;175.7099417932;"ROUTE_2";"OUTPUT"
59;17.1000000015;71.5224449225;"ROUTE_1";"OUTPUT"
59;71.5224449225;175.7785156257;"ROUTE_2";"OUTPUT"
10;17.6999999993;84.7943886556;"ROUTE_1";"OUTPUT"
10;84.7943886556;175.8555942699;"ROUTE_2";"OUTPUT"
108;18.1000000015;74.9735060558;"ROUTE_1";"OUTPUT"
108;74.9735060558;177.5897925347;"ROUTE_2";"OUTPUT"
33;17.8000000007;83.8103738725;"ROUTE_1";"OUTPUT"
33;83.8103738725;178.9368174784;"ROUTE_2";"OUTPUT"
99;18.5;118.0056000017;"ROUTE_1";"INPUT"
99;118.0056000017;179.7912405692;"ROUTE_2";"INPUT"
79;18.8999999985;118.3830000013;"ROUTE_1";"INPUT"
79;118.3830000013;179.7921669222;"ROUTE_2";"INPUT"
25;17.6999999993;66.4846493751;"ROUTE_1";"OUTPUT"
25;66.4846493751;181.5917589739;"ROUTE_2";"OUTPUT"
8;17.6999999993;125.3779000007;"ROUTE_1";"INPUT"
8;125.3779000007;184.5409803055;"ROUTE_2";"INPUT"
67;18.8999999985;63.4848401211;"ROUTE_1";"OUTPUT"
67;63.4848401211;186.5328012444;"ROUTE_2";"OUTPUT"
32;17.8000000007;139.8768000007;"ROUTE_1";"INPUT"
32;139.8768000007;187.164610941;"ROUTE_2";"INPUT"
9;17.6999999993;107.7335000001;"ROUTE_1";"INPUT"
9;107.7335000001;188.4332635365;"ROUTE_2";"INPUT"
19;18;64.9398220517;"ROUTE_1";"OUTPUT"
19;64.9398220517;188.7058749683;"ROUTE_2";"OUTPUT"
49;17.1000000015;128.6084000021;"ROUTE_1";"INPUT"
49;128.6084000021;190.3401693814;"ROUTE_2";"INPUT"
93;18.5;129.9411999993;"ROUTE_1";"INPUT"
93;129.9411999993;191.109131597;"ROUTE_2";"INPUT"
91;18.5;134.324000001;"ROUTE_1";"INPUT"
91;134.324000001;191.4921850599;"ROUTE_2";"INPUT"
1;18.1999999993;66.3418761864;"ROUTE_1";"OUTPUT"
1;66.3418761864;191.8330023959;"ROUTE_2";"OUTPUT"
21;18;130.119099997;"ROUTE_1";"INPUT"
21;130.119099997;193.5935076885;"ROUTE_2";"INPUT"
78;89.7098999992;156.7087999992;"ROUTE_1";"INPUT"
78;156.7087999992;195.0864970312;"ROUTE_2";"INPUT"
105;18.1000000015;89.3773528077;"ROUTE_1";"OUTPUT"
105;89.3773528077;199.6850219704;"ROUTE_2";"OUTPUT"
38;17.5;152.1966697499;"ROUTE_1";"INPUT"
